Re,Criteria,Airfoil,Alpha,Value,Details
0.04,Optimized #9,AG14,6.0,0.7747820294944172,"CL=0.87, L/D=25.8, Cp=-3.00"
0.04,Optimized #10,SD7037-092-88,8.0,0.7712928386940751,"CL=1.08, L/D=23.0, Cp=-2.91"
0.051,Max CL,SD7037-092-88,10.6,1.2437,CD=0.0597
0.051,Max CL/CD,SD7037-092-88,6.3,33.69454791737216,CL=0.9950
0.051,Min Cpmin,SD7037-092-88,10.6,-4.9314,-
0.051,Optimized #1,SD7037-092-88,8.6,0.8858486389701619,"CL=1.18, L/D=29.8, Cp=-3.92"
0.051,Optimized #2,SD7037-092-88,8.1,0.8781311785983392,"CL=1.14, L/D=31.0, Cp=-3.49"
0.051,Optimized #3,SD7037-092-88,8.5,0.8769113711037243,"CL=1.17, L/D=29.7, Cp=-3.80"
0.051,Optimized #4,SD7037-092-88,7.6,0.8737872801235712,"CL=1.11, L/D=32.6, Cp=-3.06"
0.051,Optimized #5,SD7037-092-88,8.7,0.8725601454327311,"CL=1.19, L/D=28.6, Cp=-3.98"
0.051,Optimized #6,SD7037-092-88,9.2,0.8718841990436739,"CL=1.22, L/D=27.1, Cp=-4.36"
0.051,Optimized #7,SD7037-092-88,8.2,0.8708014077158727,"CL=1.15, L/D=30.2, Cp=-3.57"
0.051,Optimized #8,SD7037-092-88,7.7,0.8700726893629069,"CL=1.11, L/D=31.9, Cp=-3.15"
0.051,Optimized #9,SD7037-092-88,8.3,0.8685905186334275,"CL=1.16, L/D=29.8, Cp=-3.63"
0.051,Optimized #10,SD7037-092-88,8.4,0.8685078948223709,"CL=1.16, L/D=29.6, Cp=-3.70"
0.06,Max CL,franky,11.5,1.5704,CD=0.0521
0.06,Max CL/CD,franky 2,2.0,42.341977309562395,CL=1.0450
0.06,Min Cpmin,franky,12.5,-5.8641,-
0.06,Optimized #1,franky,10.5,0.8615146091849976,"CL=1.54, L/D=33.8, Cp=-4.91"
0.06,Optimized #2,franky,10.0,0.8597591278038859,"CL=1.51, L/D=35.3, Cp=-4.49"
0.06,Optimized #3,franky,11.0,0.8535746310950023,"CL=1.56, L/D=31.9, Cp=-5.24"
0.06,Optimized #4,franky,11.5,0.8446981694571944,"CL=1.57, L/D=30.2, Cp=-5.53"
0.06,Optimized #5,franky,9.5,0.8439743125349172,"CL=1.47, L/D=35.9, Cp=-4.05"
0.06,Optimized #6,franky,12.0,0.8329599237640339,"CL=1.55, L/D=28.8, Cp=-5.73"
0.06,Optimized #7,NACA 4412,10.0,0.8257269891539275,"CL=1.36, L/D=37.5, Cp=-3.61"
0.06,Optimized #8,franky,9.0,0.8223792205793732,"CL=1.44, L/D=36.0, Cp=-3.61"
0.06,Optimized #9,NACA 4412,10.5,0.818470954963092,"CL=1.35, L/D=36.5, Cp=-3.77"
0.06,Optimized #10,franky,12.5,0.8090977132970343,"CL=1.53, L/D=26.9, Cp=-5.86"
0.08,Max CL,franky 2,11.5,1.872,CD=0.0473
0.08,Max CL/CD,franky 2,1.5,52.467599792638666,CL=1.0121
0.08,Min Cpmin,franky,13.0,-6.0148,-
0.08,Optimized #1,franky,10.0,0.8192369138745221,"CL=1.53, L/D=43.7, Cp=-4.73"
0.08,Optimized #2,franky,9.5,0.818903631218224,"CL=1.50, L/D=45.6, Cp=-4.32"
0.08,Optimized #3,franky 2,11.5,0.8174289103794383,"CL=1.87, L/D=39.6, Cp=-4.22"
0.08,Optimized #4,franky,10.5,0.8138601271916299,"CL=1.55, L/D=41.6, Cp=-5.10"
0.08,Optimized #5,franky,9.0,0.8089397875290665,"CL=1.47, L/D=46.7, Cp=-3.89"
0.08,Optimized #6,franky,11.0,0.8053174995030764,"CL=1.55, L/D=39.6, Cp=-5.40"
0.08,Optimized #7,franky,8.5,0.7931636412520565,"CL=1.43, L/D=47.1, Cp=-3.46"
0.08,Optimized #8,NACA 4412,9.5,0.7885807904706362,"CL=1.36, L/D=47.5, Cp=-3.53"
0.08,Optimized #9,franky,11.5,0.7868709764969433,"CL=1.54, L/D=36.9, Cp=-5.65"
0.08,Optimized #10,NACA 4412,10.0,0.7857394388111949,"CL=1.37, L/D=46.4, Cp=-3.73"
0.1,Max CL,S1223,8.0,1.9145,CD=0.0512
0.1,Max CL/CD,franky 2,1.5,59.157043879907626,CL=1.0246
0.1,Min Cpmin,franky 2,18.5,-6.1203,-
0.1,Optimized #1,franky 2,11.0,0.8346616154410048,"CL=1.88, L/D=48.3, Cp=-4.06"
0.1,Optimized #2,franky 2,10.5,0.825236286797389,"CL=1.86, L/D=48.7, Cp=-3.75"
0.1,Optimized #3,franky 2,11.5,0.8245551660113503,"CL=1.88, L/D=46.1, Cp=-4.30"
0.1,Optimized #4,franky,9.5,0.8197833707930383,"CL=1.50, L/D=52.1, Cp=-4.40"
0.1,Optimized #5,franky 2,12.0,0.8178809615790429,"CL=1.88, L/D=44.3, Cp=-4.57"
0.1,Optimized #6,franky,10.0,0.8169541290230851,"CL=1.52, L/D=50.0, Cp=-4.78"
0.1,Optimized #7,franky,9.0,0.8140036809118811,"CL=1.47, L/D=53.6, Cp=-3.99"
0.1,Optimized #8,franky,10.5,0.8066599374275909,"CL=1.53, L/D=47.2, Cp=-5.14"
0.1,Optimized #9,franky 2,12.5,0.8057158900220005,"CL=1.88, L/D=41.9, Cp=-4.82"
0.1,Optimized #10,franky,8.5,0.804482762577382,"CL=1.44, L/D=54.7, Cp=-3.57"
0.13,Max CL,S1223,11.0,2.1337,CD=0.0525
0.13,Max CL/CD,franky 2,2.0,66.33597078514913,CL=1.0899
0.13,Min Cpmin,franky 2,19.0,-6.5068,-
0.13,Optimized #1,franky 2,10.5,0.8208288454624748,"CL=1.87, L/D=58.3, Cp=-3.86"
0.13,Optimized #2,franky 2,11.0,0.819021983960436,"CL=1.88, L/D=56.5, Cp=-4.16"
0.13,Optimized #3,franky 2,10.0,0.814836069624784,"CL=1.85, L/D=59.1, Cp=-3.54"
0.13,Optimized #4,franky 2,11.5,0.8115259070496699,"CL=1.89, L/D=54.3, Cp=-4.44"
