Timestamp,Message Type,Voltage (V),Current (A),Remaining (%),Servo1 Output,Servo2 Output,Servo3 Output,Servo4 Output,Altitude (m),Roll,Pitch,Yaw,Acceleration Z (m/s^2),ESC Data,ESC Info
1771225745.5126812,MISSION_CURRENT,,,,,,,,,,,,,,
1771225745.5766857,GPS_RAW_INT,,,,,,,,,,,,,,
1771225745.6413999,ATTITUDE,,,,,,,,,0.008863462135195732,-0.018744783475995064,-0.00041351071558892727,,,
1771225745.7597141,BATTERY_STATUS,12.026,0.0,68,,,,,,,,,,,
1771225745.7717211,ESTIMATOR_STATUS,,,,,,,,,,,,,,
1771225745.7896533,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771225745.853431,ATTITUDE,,,,,,,,,0.008855431340634823,-0.018613066524267197,-0.0003822781436610967,,,
1771225745.9753678,VFR_HUD,,,,,,,,,,,,,,
1771225746.091246,ATTITUDE,,,,,,,,,0.008786918595433235,-0.018585126847028732,-0.00041752829565666616,,,
1771225746.103244,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771225746.222326,GPS_RAW_INT,,,,,,,,,,,,,,
1771225746.28585,ATTITUDE,,,,,,,,,0.008768457919359207,-0.018490586429834366,-0.00040342233842238784,,,
1771225746.4093463,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771225746.4201477,HEARTBEAT,,,,,,,,,,,,,,
1771225746.484218,ATTITUDE,,,,,,,,,0.008718287572264671,-0.018459059298038483,-0.0003518292505759746,,,
1771225746.5487123,MISSION_CURRENT,,,,,,,,,,,,,,
1771225746.5607114,RC_CHANNELS,,,,,,,,,,,,,,
1771225746.780693,ATTITUDE,,,,,,,,,0.008626214228570461,-0.018422452732920647,-0.0003391684440430254,,,
1771225746.7921994,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771225746.8042126,VFR_HUD,,,,,,,,,,,,,,
1771225746.9199824,GPS_RAW_INT,,,,,,,,,,,,,,
1771225746.9319875,ATTITUDE_TARGET,,,,,,,,,,,,,,
1771225746.9446423,ATTITUDE,,,,,,,,,0.008620794862508774,-0.01839940808713436,-0.0003358751710038632,,,
1771225747.11264,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771225747.1766493,ATTITUDE,,,,,,,,,0.008580057881772518,-0.01838081143796444,-0.0003122570342384279,,,
1771225747.2985868,RC_CHANNELS,,,,,,,,,,,,,,
1771225747.4726417,ATTITUDE,,,,,,,,,0.008509946055710316,-0.018362652510404587,-0.0002295883750775829,,,
1771225747.484635,HEARTBEAT,,,,,,,,,,,,,,
1771225747.496654,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771225747.5086524,PING,,,,,,,,,,,,,,
1771225747.520635,MISSION_CURRENT,,,,,,,,,,,,,,
1771225747.5319612,POSITION_TARGET_LOCAL_NED,,,,,,,,,,,,,,
1771225747.596638,GPS_RAW_INT,,,,,,,,,,,,,,
1771225747.712967,ATTITUDE,,,,,,,,,0.00835738517343998,-0.018294082954525948,-0.00017263479821849614,,,
1771225747.7249687,VFR_HUD,,,,,,,,,,,,,,
1771225747.7890787,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771225747.9061031,ATTITUDE,,,,,,,,,0.00825890526175499,-0.018253518268465996,-0.0002652569382917136,,,
1771225747.9696717,RC_CHANNELS,,,,,,,,,,,,,,
1771225748.1436265,GPS_STATUS,,,,,,,,,,,,,,
1771225748.1556883,ATTITUDE,,,,,,,,,0.008193991146981716,-0.018273713067173958,-0.00028262112755328417,,,
