Timestamp,Message Type,Voltage (V),Current (A),Remaining (%),Servo1 Output,Servo2 Output,Servo8 Output,Servo4 Output,Altitude (m),Roll,Pitch,Yaw,Acceleration Z (m/s^2),Local X (m),Local Y (m),Local Z (m),Vibration X,Vibration Y,Vibration Z,ESC Info
1771013648.8222034,ATTITUDE,,,,,,,,,0.0018237794283777475,-0.017868515104055405,0.0020282301120460033,,,,,,,,
1771013649.0421932,ATTITUDE,,,,,,,,,0.0017104719299823046,-0.017849894240498543,0.0020143073052167892,,,,,,,,
1771013649.1613982,ALTITUDE,,,,,,,,594.2470703125,,,,,,,,,,,
1771013649.1857116,LOCAL_POSITION_NED,,,,,,,,,,,,,-0.00020042635151185095,0.00719456234946847,0.20851628482341766,,,,
1771013649.2324533,SERVO_OUTPUT_RAW,,,,0,0,0,0,,,,,,,,,,,,
1771013649.2720938,ATTITUDE,,,,,,,,,0.0016445411602035165,-0.017908843234181404,0.0020884720142930746,,,,,,,,
1771013649.5207388,ATTITUDE,,,,,,,,,0.0015078678261488676,-0.018103478476405144,0.002071998082101345,,,,,,,,
1771013649.537189,BATTERY_STATUS,12.032,0.0,79,,,,,,,,,,,,,,,,
1771013649.6825852,ATTITUDE,,,,,,,,,0.001499200938269496,-0.018262481316924095,0.0020512633491307497,,,,,,,,
1771013649.8933494,ATTITUDE,,,,,,,,,0.0016683387802913785,-0.01850593090057373,0.0020629637874662876,,,,,,,,
1771013650.092366,ATTITUDE,,,,,,,,,0.0018165603978559375,-0.018718773499131203,0.0019471499836072326,,,,,,,,
1771013650.3254032,ATTITUDE,,,,,,,,,0.0018465929897502065,-0.01885618269443512,0.001946157542988658,,,,,,,,
1771013650.6127794,ATTITUDE,,,,,,,,,0.0020070690661668777,-0.01904420182108879,0.0019779023714363575,,,,,,,,
1771013650.7725303,ATTITUDE,,,,,,,,,0.002059577265754342,-0.01919170841574669,0.0019753254018723965,,,,,,,,
1771013650.9622176,ATTITUDE,,,,,,,,,0.002110576257109642,-0.019294477999210358,0.0019739430863410234,,,,,,,,
1771013651.2020884,ATTITUDE,,,,,,,,,0.00217436533421278,-0.019389165565371513,0.0019227111479267478,,,,,,,,
1771013651.413661,ATTITUDE,,,,,,,,,0.0022375856060534716,-0.019443776458501816,0.0018229513661935925,,,,,,,,
1771013651.7122896,ATTITUDE,,,,,,,,,0.0023142299614846706,-0.01943843625485897,0.00178495270665735,,,,,,,,
1771013651.8985097,ATTITUDE,,,,,,,,,0.002288933377712965,-0.019526295363903046,0.001756377867422998,,,,,,,,
1771013652.1045017,ATTITUDE,,,,,,,,,0.002306621056050062,-0.01958090253174305,0.0016626541037112474,,,,,,,,
1771013652.2559536,ATTITUDE,,,,,,,,,0.0023558468092232943,-0.019664505496621132,0.0015174755826592445,,,,,,,,
