Timestamp,Message Type,Voltage (V),Current (A),Remaining (%),Servo1 Output,Servo2 Output,Servo8 Output,Servo4 Output,Altitude (m),Roll,Pitch,Yaw,Yaw Rate (rad/s),Acceleration Z (m/s^2),Local X (m),Local Y (m),Local Z (m),Vibration X,Vibration Y,Vibration Z,ESC Info
1771233024.1379018,ATTITUDE,,,,,,,,,-0.0034766460303217173,-0.01334966067224741,-0.0010195821523666382,4.079556674696505e-05,,,,,,,,
1771233024.2118514,ATTITUDE,,,,,,,,,-0.0034755899105221033,-0.013307508081197739,-0.0010321361478418112,-8.565757889300585e-05,,,,,,,,
1771233024.2771661,ALTITUDE,,,,,,,,621.4524536132812,,,,,,,,,,,,
1771233024.2801914,SERVO_OUTPUT_RAW,,,,0,0,0,0,,,,,,,,,,,,,
1771233024.3516252,ATTITUDE,,,,,,,,,-0.0035467699635773897,-0.013271794654428959,-0.0010416938457638025,0.0004202504351269454,,,,,,,,
1771233024.415321,ATTITUDE,,,,,,,,,-0.0035671303048729897,-0.013251115567982197,-0.001061158487573266,3.124546492472291e-05,,,,,,,,
1771233024.5303345,ALTITUDE,,,,,,,,621.3229370117188,,,,,,,,,,,,
1771233024.5501435,BATTERY_STATUS,12.603,0.0,100,,,,,,,,,,,,,,,,,
1771233024.5676596,SERVO_OUTPUT_RAW,,,,0,0,0,0,,,,,,,,,,,,,
1771233024.579833,ATTITUDE,,,,,,,,,-0.0035994865465909243,-0.013268674723803997,-0.0010887548560276628,-0.001297883689403534,,,,,,,,
1771233024.6954017,ATTITUDE,,,,,,,,,-0.0036380919627845287,-0.013238929212093353,-0.0011204613838344812,0.0011905876453965902,,,,,,,,
1771233024.8166852,ATTITUDE,,,,,,,,,-0.003632625797763467,-0.013218616135418415,-0.0010923411464318633,0.001404748298227787,,,,,,,,
1771233024.8288877,ALTITUDE,,,,,,,,621.3388061523438,,,,,,,,,,,,
1771233024.841984,SERVO_OUTPUT_RAW,,,,0,0,0,0,,,,,,,,,,,,,
1771233024.910547,ATTITUDE,,,,,,,,,-0.0036849197931587696,-0.013229934498667717,-0.001078340457752347,-0.000482313334941864,,,,,,,,
1771233025.0269227,ATTITUDE,,,,,,,,,-0.0037190730217844248,-0.013224475085735321,-0.0011101466370746493,-6.125529762357473e-05,,,,,,,,
1771233025.1055944,ALTITUDE,,,,,,,,621.1273803710938,,,,,,,,,,,,
1771233025.116807,SERVO_OUTPUT_RAW,,,,0,0,0,0,,,,,,,,,,,,,
1771233025.1413765,ATTITUDE,,,,,,,,,-0.003739668056368828,-0.013232974335551262,-0.0011352543951943517,-0.0007388215744867921,,,,,,,,
1771233025.206961,ATTITUDE,,,,,,,,,-0.003781875828281045,-0.013229790143668652,-0.0011497368104755878,0.0014345048693940043,,,,,,,,
1771233025.3704677,ATTITUDE,,,,,,,,,-0.003845574101433158,-0.013230497017502785,-0.0011442881077528,-0.00027681555366143584,,,,,,,,
1771233025.3861766,ALTITUDE,,,,,,,,621.497314453125,,,,,,,,,,,,
