Timestamp,Message Type,Voltage (V),Current (A),Remaining (%),Servo1 Output,Servo2 Output,Servo3 Output,Servo4 Output,Altitude (m),Roll,Pitch,Yaw,Acceleration Z (m/s^2),ESC Data,ESC Info
1771010307,ATTITUDE,,,,,,,,,0.009311086,-0.009955681,-0.022939023,,,
1771010307,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771010308,ATTITUDE,,,,,,,,,0.009219802,-0.009973127,-0.022844952,,,
1771010308,RC_CHANNELS,,,,,,,,,,,,,,
1771010308,HEARTBEAT,,,,,,,,,,,,,,
1771010308,PING,,,,,,,,,,,,,,
1771010308,MISSION_CURRENT,,,,,,,,,,,,,,
1771010308,GPS_RAW_INT,,,,,,,,,,,,,,
1771010308,ATTITUDE,,,,,,,,,0.009202089,-0.009963266,-0.022756714,,,
1771010308,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771010308,VFR_HUD,,,,,,,,,,,,,,
1771010308,ATTITUDE_TARGET,,,,,,,,,,,,,,
1771010308,ATTITUDE,,,,,,,,,0.009167019,-0.010045876,-0.022676658,,,
1771010308,ALTITUDE,,,,,,,,586.7164917,,,,,,
1771010308,EXTENDED_SYS_STATE,,,,,,,,,,,,,,
1771010308,LOCAL_POSITION_NED,,,,,,,,,,,,,,
1771010308,SCALED_PRESSURE,,,,,,,,,,,,,,
1771010308,SERVO_OUTPUT_RAW,,,,0,0,0,0,,,,,,,
1771010308,SYS_STATUS,,,,,,,,,,,,,,
1771010308,UNKNOWN_8,,,,,,,,,,,,,,
1771010308,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771010308,ATTITUDE,,,,,,,,,0.009084062,-0.010103296,-0.02273309,,,
1771010308,RC_CHANNELS,,,,,,,,,,,,,,
1771010308,GPS_RAW_INT,,,,,,,,,,,,,,
1771010309,ATTITUDE,,,,,,,,,0.009050531,-0.010155282,-0.02273697,,,
1771010309,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771010309,HEARTBEAT,,,,,,,,,,,,,,
1771010309,VFR_HUD,,,,,,,,,,,,,,
1771010309,BATTERY_STATUS,12.162,0,84,,,,,,,,,,,
1771010309,ESTIMATOR_STATUS,,,,,,,,,,,,,,
1771010309,ATTITUDE,,,,,,,,,0.008976311,-0.010141792,-0.022620551,,,
1771010309,MISSION_CURRENT,,,,,,,,,,,,,,
1771010309,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771010309,ATTITUDE,,,,,,,,,0.008961542,-0.010125467,-0.022593388,,,
