Timestamp,Message Type,Voltage (V),Current (A),Remaining (%),Servo1 Output,Servo2 Output,Servo8 Output,Servo4 Output,Altitude (m),Roll,Pitch,Yaw,Yaw Rate (rad/s),Acceleration Z (m/s^2),Local X (m),Local Y (m),Local Z (m),Vibration X,Vibration Y,Vibration Z,ESC Info
1771213849,ALTITUDE,,,,,,,,nan,,,,,,,,,,,,
1771213849,LOCAL_POSITION_NED,,,,,,,,,,,,,,-0.007372813,-0.164357156,-0.083604604,,,,
1771213849,SERVO_OUTPUT_RAW,,,,0,0,0,0,,,,,,,,,,,,,
1771213852,ALTITUDE,,,,,,,,581.3790283,,,,,,,,,,,,
1771213852,BATTERY_STATUS,12.639,0,100,,,,,,,,,,,,,,,,,
1771213852,LOCAL_POSITION_NED,,,,,,,,,,,,,,0.004525583,0.063639805,-0.020577317,,,,
1771213852,SERVO_OUTPUT_RAW,,,,0,0,0,0,,,,,,,,,,,,,
1771213853,ATTITUDE,,,,,,,,,0.009257589,-0.016336726,-0.149750292,-0.004079643,,,,,,,,
1771213853,ATTITUDE,,,,,,,,,0.008932776,-0.016246891,-0.149455592,0.001705311,,,,,,,,
1771213854,ATTITUDE,,,,,,,,,0.006058019,-0.015190705,-0.149651527,-0.058584068,,,,,,,,
1771213854,ATTITUDE,,,,,,,,,0.003414392,-0.013070987,-0.149323419,0.014110624,,,,,,,,
1771213854,ATTITUDE,,,,,,,,,0.002000702,-0.013599376,-0.149139702,-0.054490581,,,,,,,,
1771213854,ATTITUDE,,,,,,,,,-0.005509011,-0.015971122,-0.150816604,-0.060980018,,,,,,,,
1771213854,ATTITUDE,,,,,,,,,0.0003975,-0.0164783,-0.149296448,0.011156333,,,,,,,,
1771213855,ATTITUDE,,,,,,,,,-0.004963694,-0.012299761,-0.149520546,0.010214542,,,,,,,,
1771213855,ALTITUDE,,,,,,,,580.8399658,,,,,,,,,,,,
1771213855,LOCAL_POSITION_NED,,,,,,,,,,,,,,-0.001575391,-0.036956199,-0.205871865,,,,
1771213855,SERVO_OUTPUT_RAW,,,,0,0,0,0,,,,,,,,,,,,,
1771213855,ATTITUDE,,,,,,,,,-0.00164193,-0.012491594,-0.148272574,0.006530129,,,,,,,,
1771213855,ATTITUDE,,,,,,,,,0.002104075,-0.01363903,-0.147765666,0.003889906,,,,,,,,
1771213855,ATTITUDE,,,,,,,,,0.003117238,-0.013986801,-0.147767022,0.001210424,,,,,,,,
1771213855,ATTITUDE,,,,,,,,,0.00379711,-0.014117301,-0.147398576,0.005518244,,,,,,,,
1771213856,ATTITUDE,,,,,,,,,0.006614509,-0.014656482,-0.146707177,0.001439734,,,,,,,,
1771213856,ATTITUDE,,,,,,,,,0.005750834,-0.014514939,-0.147085816,-0.005804916,,,,,,,,
1771213856,ATTITUDE,,,,,,,,,0.005700307,-0.014537817,-0.14711076,-0.001233305,,,,,,,,
1771213856,ATTITUDE,,,,,,,,,0.004767466,-0.014374287,-0.146997109,0.005216238,,,,,,,,
1771213856,ATTITUDE,,,,,,,,,0.004871979,-0.014320429,-0.146840468,-0.001525334,,,,,,,,
1771213857,ATTITUDE,,,,,,,,,0.004803413,-0.014285204,-0.146785542,0.00069314,,,,,,,,
1771213857,ATTITUDE,,,,,,,,,0.005384556,-0.014218058,-0.146633744,-0.000763021,,,,,,,,
1771213857,ATTITUDE,,,,,,,,,0.006552627,-0.014577504,-0.146615341,-0.000754059,,,,,,,,
1771213857,ATTITUDE,,,,,,,,,0.007830272,-0.014582815,-0.14658533,0.003683744,,,,,,,,
1771213858,ATTITUDE,,,,,,,,,0.008719412,-0.014398115,-0.146465197,-0.002964017,,,,,,,,
1771213858,ATTITUDE,,,,,,,,,0.009104672,-0.01424228,-0.146493316,0.00167854,,,,,,,,
1771213858,ATTITUDE,,,,,,,,,0.009346572,-0.013978354,-0.146412,0.000898004,,,,,,,,
